Stock Code,Investment2019
900939,
900956,426.652254
900952,
900933,14590.0619
900957,
900937,
900928,
900943,
900927,
900938,
900953,257.642
900940,
900955,
900951,380.72475
900922,385.7505085
900911,
900934,
900915,222.5017893
900929,
900914,
900913,
900912,
900926,
900916,132.868736
900948,5268.304152
900924,1953.088251
900947,28048.31772
900921,560.8350884
900923,
900919,
900936,4912.51068
900945,
900946,34.1734
900920,843.0236706
900932,
900917,
900918,481.9892578
900925,2496.995824
900941,
600759,90447.25223
655,36660.31431
600766,10225.72429
505,29854.6682
639,31480.98828
600882,13409.30173
600137,8457.578514
600735,17009.57191
600793,7096.117193
509,18401.1351
659,12227.64809
637,16281.67083
819,11691.64313
600691,31093.38819
677,15552.88219
703,96257.85982
672,132425.1579
600668,14060.48326
600678,5043.881102
600881,83039.0922
600883,26211.54743
519,64349.31989
600879,76005.45568
760,9272.604737
584,5744.393802
1696,10801.23042
633,
803,
600877,
790,
600664,
600671,
587,
591,
600101,
600157,
600644,
600674,
600886,
10,
582,
586,
670,
801,
810,
600666,
600745,
600839,
4,
503,
600804,
600892,
600858,
2,
7,
502,
514,
656,
667,
668,
671,
838,
600067,
809,
504,
719,
600880,
665,
600777,
600783,
200550,35779.98961
200613,
601619,
600795,
600717,
600660,1080080.785
200055,6746.1937
601882,58897.4166
18,
600834,
600707,
600677,
600751,
600729,
600821,
600816,
600657,
600706,
200056,
200152,
600687,
600415,
200986,3242.508896
603169,119884.3107
536,
600711,177010.1104
603690,4468.473562
601212,138984.1804
601518,
601162,
600686,19562.62994
200625,31950.45844
20,
200992,2288.799828
200726,4387.971001
200413,
200160,
601865,15846.20745
600139,32032.1405
563,
600705,
600658,
526,
600968,56590.9566
601188,
19,
516,
200771,10680.23544
600025,
601016,
601766,921522.6989
695,25607.90012
600012,
600109,
600903,
600362,220028.047
2785,32632.36501
601228,
600050,
601326,
600026,
200761,20030.2998
547,
14,
200168,
200045,
200058,
601588,
200468,
600115,
200581,6241.671508
3816,
651,
518,
543,
593,
600874,
200018,
600898,
564,
600693,
600027,
200505,697.4772888
2703,2040.582919
600429,25764.59569
600983,
600385,
600350,
36,
200706,1288.580592
600871,259522.1143
525,26871.0366
600802,32265.54476
601288,
600373,
200020,
600029,
601698,
600379,
601111,
652,
785,
600774,
600692,
300708,
201872,
601005,218737.3562
2265,24963.47863
548,
200530,4880.056309
552,73486.85669
603993,375460.9638
600688,601733.3025
600855,60417.67525
600035,
555,
600850,
9,
600176,575383.4152
600567,111510.0556
300591,13117.41185
200521,
601968,25379.2571
200725,
601988,
553,39131.8377
600800,9917.583832
23,4555.718955
1872,
601818,
540,
600939,
601398,
601860,
600965,25458.52547
721,
