Stock Code,Market Value of Equity,Total Market Value,Stock Return,Total Investment Expenditure,Amortization and Depreciation,Book Value,Operating Income after Depreciation,Annual Dividends,Leverage ,Cash,Age,Size
900939,57992,119608.5,0.089254,736.4984,529.177,18557.44,3618.7008,767.1645696,0.77995,2109.89394,1.230448921,6.164847266
900956,153180,313020,0.073942,1945.386,1282.8825,75058.2,12609.7776,3366.810619,0.75709,2983.0806,0,7.485702801
900952,68624.55,68624.55,0.069444,1221.51699,420.3253688,34998.5205,8207.153057,1239.280112,0.69157,225.7747695,0,6.245305931
900933,1526013.44,1526013.44,0.07117,24721.41773,14497.12768,656185.7792,131237.1558,26247.43117,0.43887,83686.57705,0.477121255,6.549982341
900957,102304,194044,0.049056,1299.2608,1023.04,42967.68,9281.01888,1494.24404,0.76263,2039.40244,1.491361694,5.505743723
900937,51840,51840,0.121494,922.752,453.6,26438.4,7363.0944,1200.184387,0.84431,2650.5792,0.301029996,5.963207219
900928,156432.43,156432.43,0.031073,1908.475646,1349.229709,23464.8645,5795.821532,1321.447309,0.9363,5714.476668,0.301029996,5.008475153
900943,39120,39120,0.131947,594.624,410.76,19951.2,3132.3384,855.1283832,1.09845,349.7328,1.113943352,7.642265089
900927,53506.2,53506.2,0.076305,668.8275,341.102025,23542.728,3578.494656,765.7978564,0.35612,348.860424,0,4.306154693
900938,90669.35,90669.35,0.065135,1332.839445,476.0140875,54401.61,9710.687385,1951.848164,0.31775,2790.802593,1.176091259,5.489905617
900953,114720,305920,0.064595,1300.16,1132.86,26385.6,6306.1584,1690.050451,0.46263,7210.5344,0.477121255,5.952080411
900940,76705.96,76705.96,0.034853,1342.3543,795.824335,11505.894,3146.862009,793.0092263,0.90958,1975.17847,1.113943352,3.336059478
900955,60390,60390,0.136646,887.733,437.8275,17513.1,4675.9977,1248.491386,0.72987,2786.3946,1.462397998,4.316532056
900951,35000,96250,-0.035813,500.5,319.375,5600,1430.8,283.2984,1.01519,1785.4375,1.380211242,5.573847793
900922,31516.53,31516.53,0.031948,485.354562,185.1596138,5042.6448,950.5385448,182.5034006,1.27798,820.6904412,1.079181246,5.700600262
900911,253396.03,253396.03,0.070114,3192.789978,2248.889766,141901.7768,34269.2791,9286.974635,0.69365,6704.858954,1.146128036,4.540679766
900934,294996,294996,0.085534,4749.4356,3097.458,106198.56,29470.1004,6129.780883,0.40636,1587.07848,1.477121255,5.691152409
900915,52348.23,52348.23,0.036365,671.802285,451.5034838,9946.1637,2466.648598,443.9967476,0.3115,1784.551161,0.301029996,3.821806093
900929,107580,216066.72,0.102095,1689.006,1116.1425,36577.2,9656.3808,2472.033485,0.74157,797.2861968,0.903089987,5.368133294
900914,140596.68,140596.68,0.045509,1883.995512,843.58008,54832.7052,12913.10207,3099.144498,0.76973,1290.677522,1.079181246,6.134202173
900913,40717.01,40717.01,0.166666,521.177728,315.5568275,8550.5721,2052.137304,383.7496758,0.32447,346.9089252,1.397940009,6.111774248
900912,245883.5,245883.5,0.085917,3884.9593,1444.565563,41800.195,11244.25246,2732.353347,0.55985,11620.45421,1.361727836,4.045212861
900926,567515.52,567515.52,0.097814,9988.273152,4611.0636,272407.4496,49986.767,8247.816555,0.67879,8575.159507,1.255272505,5.678455488
900916,76876.8,76876.8,0.054118,877.6768,768.768,37669.632,8324.988672,1923.072383,1.24443,2168.694528,0,3.848741705
900948,1075680,2635745.67,0.12344,14306.544,5781.78,344217.6,92594.5344,21018.95931,1.21972,147127.3233,1.255272505,5.825845817
900924,111726.24,111726.24,0.082741,703.875312,837.9468,42455.9712,9340.313664,1419.727677,0.56262,4091.414909,1.431363764,5.64
900947,642297.43,642297.43,0.061093,4688.771239,5620.102513,250495.9977,41582.33562,6237.350343,0.50615,18774.35388,1.204119983,5.09
900921,58913.26,58913.26,0.160306,1042.764702,508.1268675,29456.63,5405.291605,1016.194822,0.16021,2633.422722,0,3.824646415
900923,152041.59,152041.59,0.030451,2037.357306,1596.436695,56255.3883,13473.1655,3220.086554,1.28226,5725.886279,1.431363764,3.436876022
900919,128560.03,128560.03,0.172957,1645.568384,899.92021,37282.4087,9730.708671,2023.987404,0.73595,3671.674457,1.342422681,6.696201238
900936,366660,366660,0.207469,6269.886,2016.63,212662.8,62522.8632,14317.73567,1.20143,11267.4618,1.361727836,6.650113602
900945,100858.87,100858.87,0.07059,1613.74192,668.1900138,38326.3706,8163.516938,1632.703388,0.62787,3903.238269,1.51851394,5.997477437
900946,42320,42320,0.063584,504.3133333,444.36,15235.2,4349.6496,1104.810998,0.45476,945.852,0,4.516612152
900920,152745.2,152745.2,0,1878.76596,1183.7753,36658.848,9751.253568,1842.986924,1.16965,4580.828548,1.505149978,4.982463989
900932,1064411.71,1064411.71,0.05683,18520.76375,5854.264405,532205.855,114956.4647,31727.98425,1.17559,47834.66225,1.491361694,3.317798401
900917,188009.08,188009.08,0.075067,3139.751636,963.546535,39481.9068,6376.327948,1530.318708,1.25871,4897.636534,1.361727836,5.23547389
900918,99187.5,99187.5,0.196831,1428.3,657.1171875,15870,4102.395,1144.568205,1.01114,3906.995625,1.342422681,5.736712907
900925,320676.52,320676.52,0.087243,5098.756668,2164.56651,182785.6164,49534.90204,9015.352172,0.29003,15841.42009,1.51851394,4.524056811
900941,160500,160500,0.170679,1974.15,882.75,96300,28264.05,5426.6976,0.21609,1884.27,1.301029996,6.220273474
600759,6255169.73,6269915.82,0.025926,86946.85925,40658.60325,3502895.049,1038608.382,171370.383,1.23013,75991.37974,1.342422681,8.349356321
655,3292231.47,3292231.47,0.075876,48725.02576,25926.32283,1547348.791,429389.2895,91889.30795,0.17322,173105.5307,0.84509804,5.556017052
600766,1668293.94,1670489.82,0.073487,23856.60334,13137.81478,834146.97,155151.3364,27151.48387,1.08052,51384.26686,0.84509804,5.964368705
505,2233702.93,3414484.5,-0.009009,36185.98747,12843.79185,1139188.494,192522.8555,35039.15971,0.61458,183050.514,1.397940009,5.908704672
