,Stock Code,Investment2019,Market Value of Equity,Total Market Value,Stock Return,Total Investment Expenditure,Amortization and Depreciation,Book Value,Operating Income after Depreciation,Annual Dividends,Leverage,Cash,Age,Size
1,900956,426.652254,153180.0,313020.0,0.073942,1945.386,1282.8825,75058.2,12609.7776,3366.810619,0.75709,2983.0806,0.0,7.485702801
3,900933,14590.0619,1526013.44,1526013.44,0.07117,24721.41773,14497.12768,656185.7792,131237.1558,26247.43117,0.43887,83686.57705,0.477121255,6.549982341
10,900953,257.642,114720.0,305920.0,0.064595,1300.16,1132.86,26385.6,6306.1584,1690.050451,0.46263,7210.5344,0.477121255,5.952080411
13,900951,380.72475,35000.0,96250.0,-0.035813,500.5,319.375,5600.0,1430.8,283.2984,1.01519,1785.4375,1.380211242,5.573847793
14,900922,385.7505085,31516.53,31516.53,0.031948,485.354562,185.1596138,5042.6448,950.5385448,182.5034006,1.27798,820.6904412,1.079181246,5.700600262
17,900915,222.5017893,52348.23,52348.23,0.036365,671.802285,451.5034838,9946.1637,2466.648598,443.9967476,0.3115,1784.551161,0.301029996,3.821806093
23,900916,132.868736,76876.8,76876.8,0.054118,877.6768,768.768,37669.632,8324.988672,1923.072383,1.24443,2168.694528,0.0,3.848741705
24,900948,5268.304152,1075680.0,2635745.67,0.12344,14306.544,5781.78,344217.6,92594.5344,21018.95931,1.21972,147127.3233,1.255272505,5.825845817
25,900924,1953.088251,111726.24,111726.24,0.082741,703.875312,837.9468,42455.9712,9340.313664,1419.727677,0.56262,4091.414909,1.431363764,5.64
26,900947,28048.31772,642297.43,642297.43,0.061093,4688.771239,5620.102513,250495.9977,41582.33562,6237.350343,0.50615,18774.35388,1.204119983,5.09
27,900921,560.8350884,58913.26,58913.26,0.160306,1042.764702,508.1268675,29456.63,5405.291605,1016.194822,0.16021,2633.422722,0.0,3.824646415
30,900936,4912.51068,366660.0,366660.0,0.207469,6269.886,2016.63,212662.8,62522.8632,14317.73567,1.20143,11267.4618,1.361727836,6.650113602
32,900946,34.1734,42320.0,42320.0,0.063584,504.3133333,444.36,15235.2,4349.6496,1104.810998,0.45476,945.852,0.0,4.516612152
33,900920,843.0236706,152745.2,152745.2,0.0,1878.76596,1183.7753,36658.848,9751.253568,1842.986924,1.16965,4580.828548,1.505149978,4.982463989
36,900918,481.9892578,99187.5,99187.5,0.196831,1428.3,657.1171875,15870.0,4102.395,1144.568205,1.01114,3906.995625,1.342422681,5.736712907
37,900925,2496.995824,320676.52,320676.52,0.087243,5098.756668,2164.56651,182785.6164,49534.90204,9015.352172,0.29003,15841.42009,1.51851394,4.524056811
39,600759,90447.25223,6255169.73,6269915.82,0.025926,86946.85925,40658.60325,3502895.049,1038608.382,171370.383,1.23013,75991.37974,1.342422681,8.349356321
40,655,36660.31431,3292231.47,3292231.47,0.075876,48725.02576,25926.32283,1547348.791,429389.2895,91889.30795,0.17322,173105.5307,0.84509804,5.556017052
41,600766,10225.72429,1668293.94,1670489.82,0.073487,23856.60334,13137.81478,834146.97,155151.3364,27151.48387,1.08052,51384.26686,0.84509804,5.964368705
42,505,29854.6682,2233702.93,3414484.5,-0.009009,36185.98747,12843.79185,1139188.494,192522.8555,35039.15971,0.61458,183050.514,1.397940009,5.908704672
43,639,31480.98828,4875859.72,4889809.27,-0.025806,85815.13107,43273.25502,1804068.096,525885.8501,99918.31152,0.55949,42688.03493,1.0,5.388282014
44,600882,13409.30173,5919568.14,5968425.72,0.099547,71034.81768,58455.73538,2900588.389,791860.6301,121946.537,0.56095,97165.97072,0.477121255,7.200877034
